"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/13 06:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"100";"44";"732111"
"2016/12/13 06:00:00";"Portugal";"TMN (PT)";"MOVISTAR (PE)";"3";"2";"26806"
"2016/12/13 06:00:00";"Thailand";"AWN (TH)";"MOVISTAR (PE)";"1";"1";"52003"
"2016/12/13 06:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"28";"8";"710300"
"2016/12/13 06:00:00";"Russian Federation";"VIMPELCOM (RU)";"MOVISTAR (PE)";"4";"2";"25099"
"2016/12/13 06:00:00";"India (Republic of)";"IDEA (KERALA AGRA) (IN)";"MOVISTAR (PE)";"5";"1";"40419"
"2016/12/13 06:00:00";"India (Republic of)";"TATA DOCOMO (GUJARAT) (IN)";"MOVISTAR (PE)";"3";"1";"405030"
"2016/12/13 06:00:00";"Korea (Republic of)";"SK TELECOM (KR)";"MOVISTAR (PE)";"1";"1";"45005"
"2016/12/13 06:00:00";"Poland (Republic of)";"P4 (PL)";"MOVISTAR (PE)";"4";"3";"26006"
"2016/12/13 06:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"49";"33";"73601"
"2016/12/13 06:00:00";"United States of America";"SPRINT PCS (US)";"MOVISTAR (PE)";"223";"114";"310120"
"2016/12/13 06:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"1";"1";"46007"
"2016/12/13 06:00:00";"Netherlands (Kingdom of the)";"KPN (NL)";"MOVISTAR (PE)";"1";"1";"20408"
"2016/12/13 06:00:00";"Germany (Federal Republic of)";"E-PLUS (DE)";"MOVISTAR (PE)";"32";"15";"26203"
"2016/12/13 06:00:00";"Germany (Federal Republic of)";"TELEKOM (DE)";"MOVISTAR (PE)";"14";"10";"26201"
"2016/12/13 06:00:00";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"MOVISTAR (PE)";"40";"9";"74807"
"2016/12/13 06:00:00";"Switzerland (Confederation of)";"ORANGE (CH)";"MOVISTAR (PE)";"6";"3";"22803"
"2016/12/13 06:00:00";"Switzerland (Confederation of)";"SUNRISE (CH)";"MOVISTAR (PE)";"11";"5";"22802"
"2016/12/13 06:00:00";"Switzerland (Confederation of)";"SWISSCOM (CH)";"MOVISTAR (PE)";"6";"4";"22801"
