"Hour";"Subscriber Operator Name";"Origin Country Name";"Origin Operator Name";"SUM Transactions";"# Successes"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"Hongkong, China";"CSL LTD (HK)";"2";"2"
"2017/01/06 09:00:00";"MOVISTAR (PE)";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"9";"2"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"Japan";"DOCOMO (JP)";"2";"1"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"Italy";"VODAFONE (IT)";"10";"5"
"2017/01/06 09:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"26";"6"
"2017/01/06 09:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"14";"3"
"2017/01/06 09:00:00";"MOVISTAR (PE)";"China (People's Republic of)";"CHINA MOBILE (CN)";"10";"2"
"2017/01/06 09:00:00";"MOVISTAR (PE)";"Non Terrestrial (NT)";"MCP (NT)";"1";"1"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"Colombia";"MOVISTAR (CO)";"130";"26"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"Thailand";"AWN (TH)";"1";"1"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"T-MOBILE UK (GB)";"1";"1"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"12";"5"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"India (Republic of)";"VEMSL VODAFONE  (DELHI) (IN)";"4";"1"
"2017/01/06 09:00:00";"MOVISTAR (PE)";"Canada";"TELUS (CA)";"1";"1"
"2017/01/06 09:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"7";"3"
"2017/01/06 09:00:00";"MOVISTAR (PE)";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"10";"1"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"Ecuador";"MOVISTAR (EC)";"15";"3"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"29";"7"
"2017/01/06 08:00:00";"MOVISTAR (PE)";"India (Republic of)";"BHARTI AIRTEL (Rajasthan) (IN)";"14";"1"
