"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/12 09:00:00";"Austria";"T-MOBILE (AT)";"MOVISTAR (PE)";"1";"1";"23203"
"2016/12/12 09:00:00";"Austria";"T-MOBILE (AT)";"MOVISTAR (PE)";"2";"1";"23207"
"2016/12/12 09:00:00";"Belgium";"BASE (BE)";"MOVISTAR (PE)";"12";"1";"20620"
"2016/12/12 09:00:00";"Ecuador";"CONECEL (EC)";"MOVISTAR (PE)";"2";"2";"74001"
"2016/12/12 09:00:00";"Ukraine";"ASTELIT (UA)";"MOVISTAR (PE)";"5";"2";"25506"
"2016/12/12 09:00:00";"Czech Republic";"O2 (CZ)";"MOVISTAR (PE)";"4";"2";"23002"
"2016/12/12 09:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"259";"85";"72207"
"2016/12/12 09:00:00";"Korea (Republic of)";"LG UPLUS (KR)";"MOVISTAR (PE)";"1";"1";"45006"
"2016/12/12 09:00:00";"United Arab Emirates";"ETISALAT (AE)";"MOVISTAR (PE)";"1";"1";"42402"
"2016/12/12 09:00:00";"United States of America";"SPRINT PCS (US)";"MOVISTAR (PE)";"124";"58";"310120"
"2016/12/12 09:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"126";"55";"310410"
"2016/12/12 09:00:00";"South Africa (Republic of)";"VODACOM (ZA)";"MOVISTAR (PE)";"1";"1";"65501"
"2016/12/12 09:00:00";"Netherlands (Kingdom of the)";"KPN (NL)";"MOVISTAR (PE)";"2";"1";"20408"
"2016/12/12 09:00:00";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"MOVISTAR (PE)";"3739";"1128";"20404"
"2016/12/12 09:00:00";"Netherlands (Kingdom of the)";"T-MOBILE NL (NL)";"MOVISTAR (PE)";"6";"5";"20416"
"2016/12/12 09:00:00";"Germany (Federal Republic of)";"O2 (DE)";"MOVISTAR (PE)";"102";"24";"26207"
"2016/12/12 09:00:00";"Germany (Federal Republic of)";"TELEKOM (DE)";"MOVISTAR (PE)";"18";"9";"26201"
"2016/12/12 09:00:00";"Switzerland (Confederation of)";"SUNRISE (CH)";"MOVISTAR (PE)";"5";"5";"22802"
"2016/12/12 10:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"10";"4";"21406"
"2016/12/12 10:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"35";"12";"20810"
"2016/12/12 10:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"169";"79";"20801"
"2016/12/12 10:00:00";"Jersey";"JERSEY TELECOMS (JE)";"MOVISTAR (PE)";"5";"3";"23450"
"2016/12/12 10:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"3";"2";"24201"
"2016/12/12 10:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"3";"2";"23205"
"2016/12/12 10:00:00";"Ecuador";"MOVISTAR (EC)";"MOVISTAR (PE)";"623";"176";"74000"
"2016/12/12 10:00:00";"Ireland";"VODAFONE (IE)";"MOVISTAR (PE)";"3";"1";"27201"
"2016/12/12 10:00:00";"Israel (State of)";"PELEPHONE (IL)";"MOVISTAR (PE)";"5";"2";"42503"
"2016/12/12 10:00:00";"India (Republic of)";"AIRCEL (WEST BENGAL) (IN)";"MOVISTAR (PE)";"3";"1";"40492"
"2016/12/12 10:00:00";"Korea (Republic of)";"SK TELECOM (KR)";"MOVISTAR (PE)";"1";"1";"45005"
"2016/12/12 10:00:00";"Bolivia (Republic of)";"MOVIL DE ENTEL (BO)";"MOVISTAR (PE)";"8";"3";"73602"
"2016/12/12 10:00:00";"United States of America";"T-MOBILE (US)";"MOVISTAR (PE)";"3644";"1092";"310260"
"2016/12/12 10:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"33";"9";"310170"
"2016/12/12 10:00:00";"United States of America";"VERIZON WIRELESS (US)";"MOVISTAR (PE)";"58";"26";"311480"
"2016/12/12 10:00:00";"El Salvador (Republic of)";"MOVISTAR (SV)";"MOVISTAR (PE)";"6";"1";"70604"
"2016/12/12 10:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"23";"14";"46000"
"2016/12/12 10:00:00";"Germany (Federal Republic of)";"E-PLUS (DE)";"MOVISTAR (PE)";"48";"15";"26203"
