"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/12 10:00:00";"Aruba";"SETAR GSM (AW)";"MOVISTAR (PE)";"1";"1";"36301"
"2016/12/12 10:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"1036";"431";"73002"
"2016/12/12 10:00:00";"Italy";"H3G (IT)";"MOVISTAR (PE)";"6";"4";"22299"
"2016/12/12 10:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"107";"46";"72411"
"2016/12/12 10:00:00";"Brazil";"NEXTEL (BR)";"MOVISTAR (PE)";"2";"1";"72439"
"2016/12/12 10:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"14";"12";"302370"
"2016/12/12 10:00:00";"Mexico";"TELCEL (MX)";"MOVISTAR (PE)";"1";"1";"33402"
"2016/12/12 10:00:00";"Taiwan";"CHUNGHWA TELECOM (TW)";"MOVISTAR (PE)";"1";"1";"46692"
"2016/12/12 10:00:00";"Austria";"T-MOBILE (AT)";"MOVISTAR (PE)";"1";"1";"23203"
"2016/12/12 10:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"35";"13";"20610"
"2016/12/12 10:00:00";"Finland";"DNA FINLAND (FI)";"MOVISTAR (PE)";"3";"2";"24412"
"2016/12/12 10:00:00";"Israel (State of)";"ORANGE (IL)";"MOVISTAR (PE)";"5";"3";"42501"
"2016/12/12 10:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"347";"121";"72207"
"2016/12/12 10:00:00";"India (Republic of)";"VECL VODAFONE (MAHARASHTRA GOA) (IN)";"MOVISTAR (PE)";"1";"1";"40427"
"2016/12/12 10:00:00";"Hungary (Republic of)";"VODAFONE (HU)";"MOVISTAR (PE)";"4";"2";"21670"
"2016/12/12 10:00:00";"Guatemala (Republic of)";"COMCEL - TIGO (GT)";"MOVISTAR (PE)";"1";"1";"70402"
"2016/12/12 10:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"18";"2";"70403"
"2016/12/12 10:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"1";"1";"310380"
"2016/12/12 10:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"101";"39";"310410"
"2016/12/12 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"5";"3";"23420"
