"Hour";"Subscriber Operator Name";"Origin Country Name";"Origin Operator Name";"SUM Transactions";"# Successes"
"2016/10/31 09:00:00";"MOVISTAR (PE)";"Anguilla";"DIGICEL (AI)";"1";"1"
"2016/10/31 09:00:00";"MOVISTAR (PE)";"Roaming HUB";"ROAMING HUB (RH)";"3";"3"
"2016/10/31 09:00:00";"MOVISTAR (PE)";"Czech Republic";"RADIOMOBIL T-MOBILE (CZ)";"6";"1"
"2016/10/31 09:00:00";"MOVISTAR (PE)";"Israel (State of)";"ORANGE (IL)";"6";"2"
"2016/10/31 09:00:00";"MOVISTAR (PE)";"Israel (State of)";"PELEPHONE (IL)";"1";"1"
"2016/10/31 09:00:00";"MOVISTAR (PE)";"United States of America";"T-MOBILE (US)";"59";"28"
"2016/10/31 09:00:00";"MOVISTAR (PE)";"Australia (including Christmas Island and Cocos-Keeling Islands)";"OPTUS (AU)";"1";"1"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"Chile";"TELEFONICA (CL)";"3";"2"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"Japan";"DOCOMO (JP)";"11";"1"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"France";"SFR (FR)";"1";"1"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"France";"ORANGE F (FR)";"6";"1"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"France";"BOUYGUES TELECOM (FR)";"2";"2"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"Roaming HUB";"ROAMING HUB (RH)";"1";"1"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"India (Republic of)";"BHARTI AIRTEL (Rajasthan) (IN)";"11";"1"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"1";"1"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"Germany (Federal Republic of)";"O2 (DE)";"12";"5"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"Switzerland (Confederation of)";"ORANGE (CH)";"2";"1"
"2016/10/31 10:00:00";"MOVISTAR (PE)";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"8";"4"
