"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2017/01/02 09:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"14";"6";"20601"
"2017/01/02 10:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"412";"167";"310410"
"2017/01/02 10:00:00";"Slovak Republic";"MOVISTAR SLOVAKIA (SK)";"MOVISTAR (PE)";"1";"1";"23106"
"2017/01/02 10:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"39";"21";"302370"
"2017/01/02 10:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"9";"3";"46002"
"2017/01/02 09:00:00";"Mexico";"IUSACELL (MX)";"MOVISTAR (PE)";"29";"10";"334050"
"2017/01/02 10:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"OPTUS (AU)";"MOVISTAR (PE)";"10";"7";"50502"
"2017/01/02 09:00:00";"India (Republic of)";"TATA DOCOMO (MUMBAI) (IN)";"MOVISTAR (PE)";"7";"1";"405039"
"2017/01/02 09:00:00";"Portugal";"OPTIMUS (PT)";"MOVISTAR (PE)";"1";"1";"26803"
"2017/01/02 10:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"25976";"10141";"21407"
"2017/01/02 10:00:00";"Hongkong, China";"HKT PCCW (HK)";"MOVISTAR (PE)";"4";"1";"45419"
"2017/01/02 09:00:00";"United Arab Emirates";"ETISALAT (AE)";"MOVISTAR (PE)";"2";"1";"42402"
"2017/01/02 10:00:00";"United States of America";"T-MOBILE (US)";"MOVISTAR (PE)";"6817";"1900";"310260"
"2017/01/02 09:00:00";"Qatar (State of)";"QATAR TELECOM (QA)";"MOVISTAR (PE)";"1";"1";"42701"
"2017/01/02 09:00:00";"Malaysia";"DIGI (MY)";"MOVISTAR (PE)";"4";"1";"50216"
"2017/01/02 10:00:00";"Colombia";"COMCEL (CO)";"MOVISTAR (PE)";"1";"1";"732101"
"2017/01/02 10:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"214";"105";"73601"
"2017/01/02 09:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"7";"6";"21403"
"2017/01/02 10:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"19";"8";"22210"
"2017/01/02 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"155";"41";"72410"
"2017/01/02 09:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"12";"9";"50501"
"2017/01/02 10:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"18";"11";"20810"
"2017/01/02 09:00:00";"India (Republic of)";"IDEA (KERALA AGRA) (IN)";"MOVISTAR (PE)";"1";"1";"40419"
"2017/01/02 10:00:00";"Korea (Republic of)";"LG UPLUS (KR)";"MOVISTAR (PE)";"30";"3";"45006"
"2017/01/02 10:00:00";"Netherlands (Kingdom of the)";"KPN (NL)";"MOVISTAR (PE)";"7";"5";"20408"
"2017/01/02 09:00:00";"Russian Federation";"VIMPELCOM (RU)";"MOVISTAR (PE)";"68";"7";"25099"
"2017/01/02 10:00:00";"Guatemala (Republic of)";"COMCEL - TIGO (GT)";"MOVISTAR (PE)";"1";"1";"70402"
"2017/01/02 10:00:00";"Brazil";"OI (BR)";"MOVISTAR (PE)";"1";"1";"72431"
"2017/01/02 10:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"10";"3";"710300"
"2017/01/02 09:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"1333";"478";"73002"
"2017/01/02 09:00:00";"Ukraine";"KYIVSTAR (UA)";"MOVISTAR (PE)";"2";"2";"25503"
"2017/01/02 10:00:00";"Germany (Federal Republic of)";"E-PLUS (DE)";"MOVISTAR (PE)";"77";"23";"26203"
"2017/01/02 10:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"2";"1";"24201"
