"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/13 05:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"1144";"455";"73002"
"2016/12/13 05:00:00";"Italy";"H3G (IT)";"MOVISTAR (PE)";"6";"2";"22299"
"2016/12/13 05:00:00";"Italy";"WIND (IT)";"MOVISTAR (PE)";"36";"20";"22288"
"2016/12/13 05:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"13";"7";"22210"
"2016/12/13 05:00:00";"Japan";"KDDI (JP)";"MOVISTAR (PE)";"1";"1";"44050"
"2016/12/13 05:00:00";"Japan";"DOCOMO (JP)";"MOVISTAR (PE)";"15";"10";"44010"
"2016/12/13 05:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"20";"13";"21403"
"2016/12/13 05:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"4";"4";"21401"
"2016/12/13 05:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"25";"10";"302220"
"2016/12/13 05:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"17";"5";"20810"
"2016/12/13 05:00:00";"Finland";"DNA FINLAND (FI)";"MOVISTAR (PE)";"5";"1";"24412"
"2016/12/13 05:00:00";"Ireland";"VODAFONE (IE)";"MOVISTAR (PE)";"1";"1";"27201"
"2016/12/13 05:00:00";"Colombia";"COMCEL (CO)";"MOVISTAR (PE)";"1";"1";"732101"
"2016/12/13 05:00:00";"New Zealand";"TELECOM (NZ)";"MOVISTAR (PE)";"1";"1";"53005"
"2016/12/13 05:00:00";"Czech Republic";"O2 (CZ)";"MOVISTAR (PE)";"2";"1";"23002"
"2016/12/13 05:00:00";"Poland (Republic of)";"T-MOBILE (PL)";"MOVISTAR (PE)";"1";"1";"26002"
"2016/12/13 05:00:00";"Hungary (Republic of)";"T-MOBILE (HU)";"MOVISTAR (PE)";"2";"1";"21630"
"2016/12/13 05:00:00";"Montenegro (Republic of)";"T-MOBILE (ME)";"MOVISTAR (PE)";"4";"1";"29702"
"2016/12/13 05:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"18";"4";"310170"
"2016/12/13 05:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"11";"9";"46000"
"2016/12/13 05:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"13";"6";"46002"
"2016/12/13 05:00:00";"Switzerland (Confederation of)";"SWISSCOM (CH)";"MOVISTAR (PE)";"6";"5";"22801"
"2016/12/13 05:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"6";"5";"23420"
"2016/12/13 05:00:00";"United Kingdom of Great Britain and Northern Ireland";"VODAFONE (GB)";"MOVISTAR (PE)";"5";"5";"23415"
"2016/12/13 05:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"OPTUS (AU)";"MOVISTAR (PE)";"2";"2";"50502"
"2016/12/13 06:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"18";"13";"21403"
"2016/12/13 06:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"8";"3";"21405"
"2016/12/13 06:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"68";"44";"72411"
"2016/12/13 06:00:00";"Brazil";"NEXTEL (BR)";"MOVISTAR (PE)";"5";"1";"72439"
"2016/12/13 06:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"32";"14";"302220"
"2016/12/13 06:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"28";"13";"302370"
"2016/12/13 06:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"23";"12";"302720"
"2016/12/13 06:00:00";"Mexico";"TELEFONICA MOVILES (MX)";"MOVISTAR (PE)";"98";"29";"334030"
"2016/12/13 06:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"2";"1";"24201"
"2016/12/13 06:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"3";"3";"71204"
"2016/12/13 06:00:00";"New Zealand";"VODAFONE (NZ)";"MOVISTAR (PE)";"1";"1";"53001"
"2016/12/13 06:00:00";"Argentine Republic";"CLARO (AR)";"MOVISTAR (PE)";"1";"1";"722310"
"2016/12/13 06:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"463";"184";"72207"
"2016/12/13 06:00:00";"India (Republic of)";"AIRCEL (WEST BENGAL) (IN)";"MOVISTAR (PE)";"1";"1";"40492"
"2016/12/13 06:00:00";"Korea (Republic of)";"LG UPLUS (KR)";"MOVISTAR (PE)";"6";"4";"45006"
"2016/12/13 06:00:00";"Suriname (Republic of)";"TELESUR (SR)";"MOVISTAR (PE)";"1";"1";"74602"
"2016/12/13 06:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"4";"3";"310380"
"2016/12/13 06:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"236";"132";"310410"
"2016/12/13 06:00:00";"China (People's Republic of)";"CHINA MOBILE (CN)";"MOVISTAR (PE)";"22";"7";"46002"
"2016/12/13 06:00:00";"Philippines (Republic of the)";"SMART (PH)";"MOVISTAR (PE)";"16";"8";"51503"
"2016/12/13 06:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"7";"3";"23420"
"2016/12/13 06:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"26";"11";"50501"
"2016/12/13 05:00:00";"Aruba";"SETAR GSM (AW)";"MOVISTAR (PE)";"3";"2";"36301"
"2016/12/13 05:00:00";"Chile";"ENTEL PCS (CL)";"MOVISTAR (PE)";"260";"121";"73001"
"2016/12/13 05:00:00";"Italy";"TIM (IT)";"MOVISTAR (PE)";"21";"13";"22201"
"2016/12/13 05:00:00";"Brazil";"TIM (SAO PAULO) (BR)";"MOVISTAR (PE)";"1";"1";"72403"
"2016/12/13 05:00:00";"Canada";"VIDEOTRON (CA)";"MOVISTAR (PE)";"5";"3";"302500"
"2016/12/13 05:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"181";"81";"20801"
"2016/12/13 05:00:00";"Jersey";"JERSEY TELECOMS (JE)";"MOVISTAR (PE)";"4";"3";"23450"
"2016/12/13 05:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"5";"3";"23205"
"2016/12/13 05:00:00";"Portugal";"TMN (PT)";"MOVISTAR (PE)";"5";"3";"26806"
"2016/12/13 05:00:00";"Costa Rica";"MOVISTAR (CR)";"MOVISTAR (PE)";"2";"2";"71204"
"2016/12/13 05:00:00";"Hongkong, China";"HKT PCCW (HK)";"MOVISTAR (PE)";"1";"1";"45419"
"2016/12/13 05:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"586";"194";"72207"
"2016/12/13 05:00:00";"Russian Federation";"MEGAFON (RU)";"MOVISTAR (PE)";"4";"3";"25002"
"2016/12/13 05:00:00";"India (Republic of)";"AIRCEL (WEST BENGAL) (IN)";"MOVISTAR (PE)";"1";"1";"40492"
"2016/12/13 05:00:00";"Poland (Republic of)";"P4 (PL)";"MOVISTAR (PE)";"2";"2";"26006"
"2016/12/13 05:00:00";"United Arab Emirates";"ETISALAT (AE)";"MOVISTAR (PE)";"1";"1";"42402"
"2016/12/13 05:00:00";"Hungary (Republic of)";"VODAFONE (HU)";"MOVISTAR (PE)";"1";"1";"21670"
"2016/12/13 05:00:00";"Guatemala (Republic of)";"COMCEL - TIGO (GT)";"MOVISTAR (PE)";"2";"1";"70402"
"2016/12/13 05:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"65";"7";"70403"
"2016/12/13 05:00:00";"Indonesia (Republic of)";"TELKOMSEL (ID)";"MOVISTAR (PE)";"2";"1";"51010"
"2016/12/13 05:00:00";"United States of America";"SPRINT PCS (US)";"MOVISTAR (PE)";"243";"122";"310120"
"2016/12/13 05:00:00";"Netherlands (Kingdom of the)";"KPN (NL)";"MOVISTAR (PE)";"4";"3";"20408"
"2016/12/13 05:00:00";"Germany (Federal Republic of)";"E-PLUS (DE)";"MOVISTAR (PE)";"37";"18";"26203"
"2016/12/13 05:00:00";"Philippines (Republic of the)";"SMART (PH)";"MOVISTAR (PE)";"19";"9";"51503"
"2016/12/13 05:00:00";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"MOVISTAR (PE)";"88";"47";"23410"
"2016/12/13 05:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"28";"16";"50501"
"2016/12/13 06:00:00";"Chile";"TELEFONICA (CL)";"MOVISTAR (PE)";"952";"416";"73002"
"2016/12/13 06:00:00";"Brazil";"TIM (RIO NORTE) (BR)";"MOVISTAR (PE)";"1";"1";"72402"
