"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/15 08:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"15";"5";"22210"
"2016/12/15 08:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"27";"11";"21403"
"2016/12/15 08:00:00";"Brazil";"VIVO BRATC (BR)";"MOVISTAR (PE)";"9";"4";"72423"
"2016/12/15 08:00:00";"Brazil";"TIM (SAO PAULO) (BR)";"MOVISTAR (PE)";"5";"1";"72403"
"2016/12/15 08:00:00";"France";"SFR (FR)";"MOVISTAR (PE)";"15";"7";"20810"
"2016/12/15 08:00:00";"Jersey";"JERSEY TELECOMS (JE)";"MOVISTAR (PE)";"3";"2";"23450"
"2016/12/15 08:00:00";"Norway";"TELENOR (NO)";"MOVISTAR (PE)";"1";"1";"24201"
"2016/12/15 08:00:00";"Austria";"H3G AUSTRIA (AT)";"MOVISTAR (PE)";"1";"1";"23210"
"2016/12/15 08:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"3";"3";"20610"
"2016/12/15 08:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"18";"8";"20601"
"2016/12/15 08:00:00";"Finland";"DNA FINLAND (FI)";"MOVISTAR (PE)";"1";"1";"24412"
"2016/12/15 08:00:00";"Jamaica";"CABLE & WIRELESS (JM)";"MOVISTAR (PE)";"1";"1";"338180"
"2016/12/15 08:00:00";"Colombia";"OLA - TIGO (CO)";"MOVISTAR (PE)";"58";"28";"732111"
"2016/12/15 08:00:00";"Nicaragua";"TELEFONICA DE NICARAGUA (NI)";"MOVISTAR (PE)";"22";"6";"710300"
"2016/12/15 08:00:00";"Venezuela";"MOVISTAR (VE)";"MOVISTAR (PE)";"3";"3";"73404"
"2016/12/15 08:00:00";"Argentine Republic";"MOVISTAR (AR)";"MOVISTAR (PE)";"407";"116";"72207"
"2016/12/15 08:00:00";"Korea (Republic of)";"SK TELECOM (KR)";"MOVISTAR (PE)";"7";"3";"45005"
"2016/12/15 08:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"56";"30";"73601"
"2016/12/15 08:00:00";"Bolivia (Republic of)";"MOVIL DE ENTEL (BO)";"MOVISTAR (PE)";"3";"3";"73602"
"2016/12/15 08:00:00";"Bulgaria (Republic of)";"MOBILTEL (BG)";"MOVISTAR (PE)";"8";"1";"28401"
"2016/12/15 08:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"48";"3";"70403"
"2016/12/15 08:00:00";"United States of America";"AT&T MOBILITY (US)";"MOVISTAR (PE)";"116";"53";"310410"
"2016/12/15 08:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"20";"9";"50501"
"2016/12/15 09:00:00";"Italy";"WIND (IT)";"MOVISTAR (PE)";"29";"14";"22288"
"2016/12/15 09:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"5";"4";"22210"
"2016/12/15 09:00:00";"Spain";"ORANGE (ES)";"MOVISTAR (PE)";"16";"10";"21403"
"2016/12/15 09:00:00";"Brazil";"VIVO (BR)";"MOVISTAR (PE)";"56";"19";"72406"
"2016/12/15 09:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"8";"6";"302220"
"2016/12/15 09:00:00";"Canada";"BELL MOBILITY (CA)";"MOVISTAR (PE)";"14";"7";"302610"
"2016/12/15 09:00:00";"France";"ORANGE F (FR)";"MOVISTAR (PE)";"207";"66";"20801"
"2016/12/15 09:00:00";"Belgium";"MOBISTAR (BE)";"MOVISTAR (PE)";"17";"6";"20610"
"2016/12/15 09:00:00";"Finland";"DNA FINLAND (FI)";"MOVISTAR (PE)";"1";"1";"24412"
